"","Player","Team","Season","Minutes","Claiming","Fielding","Handling","Passing","Shotstopping","Sweeping","Goals Added"
"","Abby Smith","POR","2022","194","0.02","0.00","0.04","0.04","1.07","0.01","1.18"
"","Abby Smith","BOS","2016","131","0.00","-0.00","0.03","0.07","0.87","0.06","1.01"
"","Abby Smith","BOS","2017","1837","0.01","-0.01","0.01","0.07","0.20","-0.00","0.28"
"","Abby Smith","KC","2021","790","0.00","-0.01","0.02","0.07","-0.05","0.02","0.06"
"","Abby Smith","UTA","2020","708","0.00","-0.01","0.02","0.06","-0.19","-0.08","-0.20"
"","Abby Smith","UTA","2018","1638","-0.01","-0.00","-0.00","0.07","-0.32","0.01","-0.25"
"","Adrianna Franch","POR","2017","2522","0.00","0.00","0.02","0.06","0.26","0.00","0.36"
"","Adrianna Franch","POR","2018","1566","0.00","0.00","0.03","0.05","0.16","-0.01","0.23"
"","Adrianna Franch","KC, POR","2021","1981","0.00","0.00","0.01","0.05","0.03","0.01","0.12"
"","Adrianna Franch","POR","2016","584","0.00","0.00","-0.05","0.06","0.03","-0.01","0.03"
"","Adrianna Franch","POR","2019","1470","-0.00","0.00","0.03","0.06","-0.07","0.00","0.02"
"","Adrianna Franch","KC","2022","489","0.00","-0.00","0.03","0.05","-0.38","-0.01","-0.31"
"","Alyssa Naeher","CHI","2020","1005","-0.00","0.00","0.02","0.07","0.34","-0.05","0.39"
"","Alyssa Naeher","CHI","2022","683","0.00","0.00","0.04","0.05","0.09","-0.06","0.12"
"","Alyssa Naeher","CHI","2017","2231","0.00","0.00","0.03","0.07","0.02","0.00","0.12"
"","Alyssa Naeher","CHI","2019","1560","0.00","0.01","0.01","0.06","0.01","0.02","0.12"
"","Alyssa Naeher","CHI","2016","1372","-0.01","0.00","-0.03","0.06","0.06","0.00","0.08"
"","Alyssa Naeher","CHI","2018","2239","0.00","0.01","0.00","0.08","-0.07","0.01","0.03"
"","Alyssa Naeher","CHI","2021","976","-0.00","0.00","0.02","0.05","-0.17","-0.00","-0.11"
"","Amanda Dennis","HOU","2021","100","0.00","-0.00","-0.00","0.05","-0.58","-0.00","-0.54"
"","Amanda McGlynn","NJY","2021","52","0.01","-0.00","0.02","0.06","-0.77","-0.02","-0.70"
"","Andi Tostanoski","RGN","2016","156","0.27","-0.01","-0.04","0.08","-0.55","0.04","-0.20"
"","Anna Moorhouse","ORL","2022","290","-0.00","0.00","0.10","0.04","-0.38","0.00","-0.25"
"","Ashlyn Harris","NJY","2022","584","0.01","0.00","0.05","0.02","0.17","0.01","0.26"
